Date;Open;High;Low;Close;Volume;Adj;Close
2009-05-19;23.2;24.2;22.1;22.8;32400;19.44;
2009-05-15;22.8;23.75;21.95;22.05;49800;18.8;
2009-05-14;23.1;23.4;21.5;21.5;48100;18.33;
2009-05-13;21.9;24.35;21.9;23.2;5400;19.78;
2009-05-12;23.15;25;22.7;23.8;32200;20.29;
2009-05-11;23.15;23.65;22.25;23.3;30400;19.87;
2009-05-08;22.25;23.5;21.95;22.75;43400;19.4;
2009-05-07;21.3;22.7;21.3;22.7;38100;19.35;
2009-05-06;21.8;23.45;21.65;21.65;39700;18.46;
2009-05-05;23.2;24.4;22.5;22.5;28700;19.18;
2009-05-04;24;24;23;24;4100;20.46;
2009-04-29;23.1;24.3;23;23.9;13200;20.38;
2009-04-28;24.35;24.95;24;24;9100;20.46;
2009-04-27;26.2;26.3;25;25.5;11000;21.74;
2009-04-24;26.3;27.4;26;26;45700;22.17;
2009-04-23;25.9;26.1;25.6;26.1;88200;22.25;
2009-04-22;23.8;24.9;23.15;24.9;316900;21.23;
2009-04-21;24;25;22.8;23.75;45300;20.25;
2009-04-20;24.9;24.9;23.2;23.95;79100;20.42;
2009-04-17;23.75;23.75;23.75;23.75;14800;20.25;
2009-04-16;22.65;22.65;22.65;22.65;11700;19.31;
2009-04-15;21.6;21.6;21.6;21.6;1900;18.42;
2009-04-13;20.55;20.6;20.55;20.6;2100;17.56;
2009-04-09;19.35;21;19.35;20;91100;17.05;
2009-04-08;20.35;20.35;20.35;20.35;19100;17.35;
2009-04-06;21.4;21.4;21.4;21.4;22500;18.25;
2009-04-02;22.5;22.5;22.5;22.5;21400;19.18;
2009-04-01;23.75;23.75;23.65;23.65;12600;20.16;
2009-03-31;24.9;24.9;24.85;24.85;47400;21.19;
2009-03-30;27.65;27.65;26.15;26.15;51000;22.29;
2009-03-27;32.3;32.7;29.05;29.05;38900;24.77;
2009-03-26;33.05;33.9;30.7;31.5;59700;26.86;
2009-03-25;34.55;34.95;33.05;33.7;41200;28.73;
2009-03-24;36;36.4;34;34.2;32100;29.16;
2009-03-23;37.3;37.3;35.15;35.15;29700;29.97;
2009-03-20;35.15;36.75;35.15;35.5;27600;30.27;
2009-03-19;36;36.95;35.05;35.5;29800;30.27;
